Score,Male,Female
0,58.59,57.70
0.5,57.57,56.76
1,56.55,55.83
1.5,55.53,54.89
2,54.51,53.95
2.5,53.49,53.02
3,52.47,52.08
3.5,51.45,51.14
4,50.43,50.21
4.5,49.41,49.27
5,48.39,48.34
5.5,47.36,47.40
6,46.34,46.46
6.5,45.32,45.53
7,44.30,44.59
7.5,43.28,43.65
8,42.26,42.72
8.5,41.24,41.78
9,40.22,40.84
9.5,39.20,39.91
10,38.18,38.97
10.5,37.80,38.56
11,37.43,38.15
11.5,37.05,37.74
12,36.67,37.32
12.5,36.30,36.91
13,35.92,36.50
13.5,35.55,36.09
14,35.17,35.68
14.5,34.79,35.27
15,34.42,34.86
15.5,34.04,34.45
16,33.67,34.04
16.5,33.29,33.63
17,32.91,33.22
17.5,32.54,32.80
18,32.16,32.39
18.5,31.79,31.98
19,31.41,31.57
19.5,31.04,31.16
20,30.66,30.75
20.5,30.15,30.12
21,29.64,29.48
21.5,29.13,28.85
22,28.62,28.21
22.5,28.11,27.58
23,27.59,26.94
23.5,27.08,26.31
24,26.57,25.68
24.5,26.06,25.04
25,25.55,24.41
25.5,25.04,23.77
26,24.53,23.14
26.5,24.02,22.50
27,23.51,21.87
27.5,23.00,21.24
28,22.49,20.60
28.5,21.98,19.97
29,21.46,19.33
29.5,20.95,18.70
30,20.44,18.06
30.5,20.18,17.82
31,19.92,17.58
31.5,19.65,17.34
32,19.39,17.11
32.5,19.13,16.87
33,18.87,16.63
33.5,18.60,16.39
34,18.34,16.15
34.5,18.08,15.91
35,17.82,15.67
35.5,17.55,15.43
36,17.29,15.19
36.5,17.03,14.95
37,16.77,14.71
37.5,16.50,14.47
38,16.24,14.23
38.5,15.98,13.99
39,15.72,13.75
39.5,15.45,13.51
40,15.19,13.27
40.5,15.00,13.09
41,14.81,12.92
41.5,14.62,12.74
42,14.43,12.57
42.5,14.24,12.39
43,14.05,12.21
43.5,13.86,12.04
44,13.67,11.86
44.5,13.48,11.69
45,13.29,11.51
45.5,13.10,11.34
46,12.90,11.16
46.5,12.71,10.99
47,12.52,10.81
47.5,12.33,10.64
48,12.14,10.46
48.5,11.95,10.29
49,11.76,10.11
49.5,11.57,9.94
50,11.38,9.76
50.5,11.36,9.72
51,11.33,9.67
51.5,11.31,9.63
52,11.28,9.58
52.5,11.26,9.54
53,11.23,9.49
53.5,11.21,9.45
54,11.18,9.40
54.5,11.16,9.36
55,11.13,9.31
55.5,11.11,9.27
56,11.09,9.22
56.5,11.06,9.18
57,11.04,9.13
57.5,11.01,9.09
58,10.99,9.04
58.5,10.96,9.00
59,10.94,8.95
59.5,10.91,8.91
60,10.89,8.86
60.5,10.77,8.78
61,10.65,8.69
61.5,10.53,8.61
62,10.41,8.52
62.5,10.30,8.44
63,10.18,8.36
63.5,10.06,8.27
64,9.94,8.19
64.5,9.82,8.10
65,9.70,8.02
65.5,9.58,7.93
66,9.47,7.85
66.5,9.35,7.76
67,9.23,7.68
67.5,9.11,7.60
68,8.99,7.51
68.5,8.87,7.43
69,8.75,7.34
69.5,8.63,7.26
70,8.52,7.17
70.5,8.50,7.09
71,8.48,7.02
71.5,8.46,6.94
72,8.44,6.86
73,8.41,6.70
73.5,8.39,6.62
74,8.37,6.54
74.5,8.35,6.46
75,8.34,6.39
75.5,8.32,6.31
76,8.30,6.23
76.5,8.28,6.15
77,8.26,6.07
78,8.23,5.91
78.5,8.21,5.84
79,8.19,5.76
79.5,8.17,5.68
80,8.16,5.60
80.5,8.09,5.60
81,8.02,5.61
81.5,7.95,5.61
82,7.89,5.62
82.5,7.82,5.62
83,7.75,5.62
83.5,7.69,5.63
84,7.62,5.63
84.5,7.55,5.64
85,7.48,5.64
85.5,7.42,5.65
86,7.35,5.65
86.5,7.28,5.65
87,7.22,5.66
87.5,7.15,5.66
88,7.08,5.67
88.5,7.01,5.67
89,6.95,5.68
89.5,6.88,5.68
90,6.81,5.68
90.5,6.68,5.62
91,6.55,5.56
91.5,6.42,5.50
92,6.29,5.44
93,6.03,5.32
93.5,5.90,5.25
94,5.77,5.19
94.5,5.64,5.13
95,5.51,5.07
95.5,5.38,5.01
96,5.25,4.95
96.5,5.13,4.89
97,5.00,4.82
97.5,4.87,4.76
98,4.74,4.70
98.5,4.61,4.64
99,4.48,4.58
99.5,4.35,4.52
100,4.22,4.46
