,Score,Asian (Bad)
0,0.0,0.08
1,0.5,1.81
2,1.0,7.69
3,1.5,9.2
4,2.0,10.5
5,2.5,11.78
6,3.0,13.41
7,3.5,15.22
8,4.0,16.34
9,4.5,17.23
10,5.0,20.65
11,5.5,22.62
12,6.0,25.05
13,6.5,26.09
14,7.0,27.32
15,7.5,28.92
16,8.0,30.59
17,8.5,31.11
18,9.0,32.02
19,9.5,32.69
20,10.0,33.3
21,10.5,33.7
22,11.0,34.98
23,11.5,35.95
24,12.0,38.79
25,12.5,39.73
26,13.0,41.24
27,13.5,43.32
28,14.0,45.58
29,14.5,46.2
30,15.0,47.07
31,15.5,48.02
32,16.0,49.36
33,16.5,50.3
34,17.0,51.01
35,17.5,51.84
36,18.0,52.71
37,18.5,53.12
38,19.0,53.61
39,19.5,53.9
40,20.0,56.04
41,20.5,56.32
42,21.0,57.6
43,21.5,58.78
44,22.0,59.59
45,22.5,60.35
46,23.0,60.98
47,23.5,61.63
48,24.0,62.59
49,24.5,63.27
50,25.0,64.75
51,25.5,65.23
52,26.0,66.03
53,26.5,67.05
54,27.0,68.28
55,27.5,69.34
56,28.0,70.23
57,28.5,70.92
58,29.0,71.64
59,29.5,72.47
60,30.0,73.66
61,30.5,74.07
62,31.0,75.48
63,31.5,75.75
64,32.0,76.21
65,32.5,76.64
66,33.0,77.4
67,33.5,77.89
68,34.0,78.78
69,34.5,79.37
70,35.0,80.01
71,35.5,80.35
72,36.0,81.26
73,36.5,81.37
74,37.0,82.07
75,37.5,83.19
76,38.0,84.77
77,38.5,85.3
78,39.0,86.22
79,39.5,86.46
80,40.0,87.08
81,40.5,87.79
82,41.0,88.21
83,41.5,88.51
84,42.0,88.98
85,42.5,90.3
86,43.0,90.69
87,43.5,90.93
88,44.0,91.12
89,44.5,91.47
90,45.0,92.01
91,45.5,92.15
92,46.0,92.83
93,46.5,93.04
94,47.0,93.48
95,47.5,93.59
96,48.0,93.9
97,48.5,93.93
98,49.0,94.02
99,49.5,94.1
100,50.0,94.23
101,50.5,94.26
102,51.0,94.33
103,51.5,94.62
104,52.0,94.85
105,52.5,94.86
106,53.0,94.92
107,53.5,95.23
108,54.0,95.55
109,54.5,95.81
110,55.0,96.24
111,55.5,96.37
112,56.0,96.43
113,56.5,96.44
114,57.0,96.6
115,57.5,96.76
116,58.0,96.93
117,58.5,96.97
118,59.0,97.05
119,59.5,97.18
120,60.0,97.22
121,60.5,97.26
122,61.0,97.51
123,61.5,97.57
124,62.0,97.58
125,62.5,97.63
126,63.0,97.66
127,63.5,97.72
128,64.0,98.03
129,64.5,98.05
130,65.0,98.22
131,65.5,98.23
132,66.0,98.27
133,66.5,98.35
134,67.0,98.35
135,67.5,98.58
136,68.0,98.58
137,68.5,98.58
138,69.0,98.62
139,69.5,98.63
140,70.0,98.63
141,70.5,98.65
142,71.0,98.69
143,71.5,98.7
144,72.0,98.71
145,73.0,98.96
146,73.5,98.98
147,74.0,98.98
148,74.5,99.01
149,75.0,99.02
150,75.5,99.03
151,76.0,99.12
152,76.5,99.12
153,77.0,99.36
154,78.0,99.41
155,78.5,99.41
156,79.0,99.41
157,79.5,99.42
158,80.0,99.42
159,80.5,99.5
160,81.0,99.52
161,81.5,99.53
162,82.0,99.53
163,82.5,99.54
164,83.0,99.54
165,83.5,99.57
166,84.0,99.6
167,84.5,99.6
168,85.0,99.65
169,85.5,99.66
170,86.0,99.67
171,86.5,99.67
172,87.0,99.72
173,87.5,99.78
174,88.0,99.78
175,88.5,99.79
176,89.0,99.8
177,89.5,99.8
178,90.0,99.8
179,90.5,99.8
180,91.0,99.8
181,91.5,99.8
182,92.0,99.82
183,93.0,99.82
184,93.5,99.82
185,94.0,99.82
186,94.5,99.84
187,95.0,99.9
188,95.5,99.9
189,96.0,99.93
190,96.5,99.93
191,97.0,99.94
192,97.5,99.94
193,98.0,99.99
194,98.5,100.0
195,99.0,100.0
196,99.5,100.0
197,100.0,100.0
