,Score,Asian (Good)
0,0.0,0.0
1,0.5,0.01
2,1.0,0.19
3,1.5,0.21
4,2.0,0.28
5,2.5,0.36
6,3.0,0.49
7,3.5,0.57
8,4.0,0.64
9,4.5,0.67
10,5.0,0.79
11,5.5,0.95
12,6.0,1.06
13,6.5,1.15
14,7.0,1.28
15,7.5,1.35
16,8.0,1.49
17,8.5,1.58
18,9.0,1.68
19,9.5,1.77
20,10.0,1.91
21,10.5,2.0
22,11.0,2.13
23,11.5,2.28
24,12.0,2.63
25,12.5,2.8
26,13.0,3.07
27,13.5,3.23
28,14.0,3.52
29,14.5,3.66
30,15.0,3.96
31,15.5,4.1
32,16.0,4.36
33,16.5,4.6
34,17.0,4.88
35,17.5,5.08
36,18.0,5.34
37,18.5,5.5
38,19.0,5.82
39,19.5,6.0
40,20.0,6.39
41,20.5,6.63
42,21.0,6.99
43,21.5,7.21
44,22.0,7.54
45,22.5,7.77
46,23.0,8.11
47,23.5,8.47
48,24.0,9.01
49,24.5,9.32
50,25.0,9.79
51,25.5,10.03
52,26.0,10.42
53,26.5,10.81
54,27.0,11.41
55,27.5,11.75
56,28.0,12.37
57,28.5,12.83
58,29.0,13.63
59,29.5,14.07
60,30.0,14.75
61,30.5,15.13
62,31.0,15.91
63,31.5,16.32
64,32.0,16.92
65,32.5,17.59
66,33.0,18.11
67,33.5,18.58
68,34.0,19.27
69,34.5,19.86
70,35.0,20.69
71,35.5,21.04
72,36.0,22.07
73,36.5,22.4
74,37.0,23.61
75,37.5,24.01
76,38.0,25.21
77,38.5,25.7
78,39.0,26.82
79,39.5,27.21
80,40.0,28.0
81,40.5,28.62
82,41.0,29.47
83,41.5,29.86
84,42.0,30.77
85,42.5,31.36
86,43.0,32.13
87,43.5,32.8
88,44.0,33.78
89,44.5,34.59
90,45.0,35.35
91,45.5,36.14
92,46.0,36.86
93,46.5,37.49
94,47.0,38.63
95,47.5,39.14
96,48.0,40.06
97,48.5,40.53
98,49.0,41.06
99,49.5,41.65
100,50.0,42.5
101,50.5,42.9
102,51.0,43.93
103,51.5,44.53
104,52.0,45.42
105,52.5,46.03
106,53.0,47.09
107,53.5,47.94
108,54.0,48.98
109,54.5,49.52
110,55.0,50.5
111,55.5,51.06
112,56.0,51.78
113,56.5,52.31
114,57.0,53.26
115,57.5,53.83
116,58.0,54.73
117,58.5,55.49
118,59.0,56.39
119,59.5,57.01
120,60.0,58.07
121,60.5,58.58
122,61.0,59.17
123,61.5,59.87
124,62.0,60.6
125,62.5,61.35
126,63.0,61.96
127,63.5,62.75
128,64.0,63.59
129,64.5,63.9
130,65.0,64.57
131,65.5,65.09
132,66.0,65.9
133,66.5,66.37
134,67.0,66.73
135,67.5,67.7
136,68.0,68.05
137,68.5,68.51
138,69.0,69.24
139,69.5,69.83
140,70.0,70.26
141,70.5,70.74
142,71.0,71.16
143,71.5,71.61
144,72.0,72.41
145,73.0,73.43
146,73.5,73.77
147,74.0,74.19
148,74.5,74.92
149,75.0,75.3
150,75.5,75.72
151,76.0,76.1
152,76.5,76.77
153,77.0,77.9
154,78.0,78.96
155,78.5,79.37
156,79.0,79.92
157,79.5,80.33
158,80.0,80.91
159,80.5,81.42
160,81.0,82.45
161,81.5,82.95
162,82.0,83.34
163,82.5,83.76
164,83.0,84.27
165,83.5,84.75
166,84.0,85.59
167,84.5,86.03
168,85.0,86.48
169,85.5,87.26
170,86.0,87.76
171,86.5,88.52
172,87.0,89.01
173,87.5,89.75
174,88.0,90.15
175,88.5,90.81
176,89.0,91.19
177,89.5,91.94
178,90.0,92.33
179,90.5,92.68
180,91.0,92.95
181,91.5,93.35
182,92.0,94.05
183,93.0,94.68
184,93.5,95.07
185,94.0,95.43
186,94.5,95.85
187,95.0,96.37
188,95.5,96.56
189,96.0,97.16
190,96.5,97.35
191,97.0,97.76
192,97.5,98.42
193,98.0,99.16
194,98.5,99.65
195,99.0,99.92
196,99.5,99.99
197,100.0,100.0
