,Score,Black (Bad)
0,0.0,0.11
1,0.5,2.17
2,1.0,8.75
3,1.5,10.75
4,2.0,13.25
5,2.5,15.33
6,3.0,17.72
7,3.5,19.88
8,4.0,22.02
9,4.5,22.71
10,5.0,27.04
11,5.5,29.67
12,6.0,32.9
13,6.5,34.26
14,7.0,36.2
15,7.5,37.43
16,8.0,39.53
17,8.5,40.3
18,9.0,41.48
19,9.5,42.51
20,10.0,43.91
21,10.5,44.6
22,11.0,45.84
23,11.5,47.25
24,12.0,49.89
25,12.5,51.04
26,13.0,52.48
27,13.5,53.61
28,14.0,55.56
29,14.5,56.25
30,15.0,57.62
31,15.5,58.41
32,16.0,59.44
33,16.5,60.07
34,17.0,61.09
35,17.5,62.23
36,18.0,63.1
37,18.5,63.5
38,19.0,64.08
39,19.5,64.32
40,20.0,67.02
41,20.5,67.8
42,21.0,68.98
43,21.5,69.66
44,22.0,70.56
45,22.5,71.66
46,23.0,72.8
47,23.5,73.71
48,24.0,74.46
49,24.5,75.0
50,25.0,75.98
51,25.5,76.41
52,26.0,77.53
53,26.5,78.2
54,27.0,79.5
55,27.5,80.48
56,28.0,81.27
57,28.5,81.71
58,29.0,82.74
59,29.5,83.07
60,30.0,83.79
61,30.5,84.12
62,31.0,85.06
63,31.5,85.83
64,32.0,86.46
65,32.5,86.93
66,33.0,87.39
67,33.5,87.92
68,34.0,88.54
69,34.5,88.81
70,35.0,89.26
71,35.5,89.67
72,36.0,90.44
73,36.5,90.57
74,37.0,91.28
75,37.5,91.41
76,38.0,91.79
77,38.5,91.98
78,39.0,92.21
79,39.5,92.34
80,40.0,92.53
81,40.5,92.83
82,41.0,92.97
83,41.5,93.17
84,42.0,93.63
85,42.5,93.86
86,43.0,94.01
87,43.5,94.1
88,44.0,94.36
89,44.5,94.45
90,45.0,94.74
91,45.5,95.0
92,46.0,95.11
93,46.5,95.2
94,47.0,95.61
95,47.5,95.64
96,48.0,96.11
97,48.5,96.12
98,49.0,96.31
99,49.5,96.35
100,50.0,96.48
101,50.5,96.54
102,51.0,96.65
103,51.5,96.73
104,52.0,96.83
105,52.5,96.91
106,53.0,97.06
107,53.5,97.15
108,54.0,97.4
109,54.5,97.44
110,55.0,97.69
111,55.5,97.72
112,56.0,97.77
113,56.5,97.78
114,57.0,97.82
115,57.5,97.84
116,58.0,97.91
117,58.5,97.99
118,59.0,98.05
119,59.5,98.09
120,60.0,98.22
121,60.5,98.24
122,61.0,98.39
123,61.5,98.51
124,62.0,98.52
125,62.5,98.62
126,63.0,98.65
127,63.5,98.65
128,64.0,98.82
129,64.5,98.82
130,65.0,98.87
131,65.5,98.89
132,66.0,98.89
133,66.5,98.91
134,67.0,98.91
135,67.5,99.13
136,68.0,99.13
137,68.5,99.15
138,69.0,99.16
139,69.5,99.17
140,70.0,99.17
141,70.5,99.3
142,71.0,99.38
143,71.5,99.38
144,72.0,99.44
145,73.0,99.49
146,73.5,99.5
147,74.0,99.5
148,74.5,99.56
149,75.0,99.56
150,75.5,99.57
151,76.0,99.59
152,76.5,99.59
153,77.0,99.6
154,78.0,99.6
155,78.5,99.6
156,79.0,99.6
157,79.5,99.61
158,80.0,99.62
159,80.5,99.63
160,81.0,99.65
161,81.5,99.65
162,82.0,99.65
163,82.5,99.65
164,83.0,99.65
165,83.5,99.66
166,84.0,99.66
167,84.5,99.66
168,85.0,99.67
169,85.5,99.68
170,86.0,99.78
171,86.5,99.79
172,87.0,99.79
173,87.5,99.79
174,88.0,99.79
175,88.5,99.8
176,89.0,99.8
177,89.5,99.82
178,90.0,99.82
179,90.5,99.82
180,91.0,99.83
181,91.5,99.83
182,92.0,99.85
183,93.0,99.85
184,93.5,99.85
185,94.0,99.88
186,94.5,99.9
187,95.0,99.9
188,95.5,99.9
189,96.0,99.98
190,96.5,99.98
191,97.0,99.99
192,97.5,99.99
193,98.0,100.0
194,98.5,100.0
195,99.0,100.0
196,99.5,100.0
197,100.0,100.0
