,Score,Non- Hispanic white (Good)
0,0.0,0.0
1,0.5,0.03
2,1.0,0.22
3,1.5,0.26
4,2.0,0.35
5,2.5,0.44
6,3.0,0.59
7,3.5,0.69
8,4.0,0.8
9,4.5,0.84
10,5.0,1.02
11,5.5,1.21
12,6.0,1.38
13,6.5,1.49
14,7.0,1.67
15,7.5,1.76
16,8.0,1.92
17,8.5,2.01
18,9.0,2.14
19,9.5,2.23
20,10.0,2.38
21,10.5,2.49
22,11.0,2.64
23,11.5,2.8
24,12.0,3.14
25,12.5,3.37
26,13.0,3.7
27,13.5,3.89
28,14.0,4.23
29,14.5,4.41
30,15.0,4.71
31,15.5,4.91
32,16.0,5.21
33,16.5,5.48
34,17.0,5.78
35,17.5,5.99
36,18.0,6.29
37,18.5,6.54
38,19.0,6.86
39,19.5,7.09
40,20.0,7.47
41,20.5,7.68
42,21.0,7.97
43,21.5,8.18
44,22.0,8.49
45,22.5,8.73
46,23.0,9.08
47,23.5,9.37
48,24.0,9.93
49,24.5,10.28
50,25.0,10.73
51,25.5,11.05
52,26.0,11.5
53,26.5,11.91
54,27.0,12.58
55,27.5,12.92
56,28.0,13.62
57,28.5,14.02
58,29.0,14.8
59,29.5,15.28
60,30.0,15.9
61,30.5,16.32
62,31.0,17.04
63,31.5,17.5
64,32.0,18.12
65,32.5,18.68
66,33.0,19.34
67,33.5,19.79
68,34.0,20.52
69,34.5,21.1
70,35.0,22.04
71,35.5,22.33
72,36.0,23.31
73,36.5,23.68
74,37.0,24.79
75,37.5,25.22
76,38.0,26.29
77,38.5,26.69
78,39.0,27.55
79,39.5,27.85
80,40.0,28.52
81,40.5,29.08
82,41.0,29.85
83,41.5,30.22
84,42.0,31.12
85,42.5,31.65
86,43.0,32.51
87,43.5,33.09
88,44.0,34.02
89,44.5,34.8
90,45.0,35.47
91,45.5,36.19
92,46.0,36.96
93,46.5,37.46
94,47.0,38.47
95,47.5,38.94
96,48.0,39.9
97,48.5,40.39
98,49.0,40.97
99,49.5,41.59
100,50.0,42.37
101,50.5,42.8
102,51.0,43.59
103,51.5,44.25
104,52.0,45.09
105,52.5,45.67
106,53.0,46.48
107,53.5,47.21
108,54.0,48.1
109,54.5,48.58
110,55.0,49.59
111,55.5,50.08
112,56.0,50.82
113,56.5,51.37
114,57.0,52.23
115,57.5,52.71
116,58.0,53.61
117,58.5,54.22
118,59.0,55.06
119,59.5,55.64
120,60.0,56.51
121,60.5,56.94
122,61.0,57.63
123,61.5,58.29
124,62.0,58.95
125,62.5,59.65
126,63.0,60.26
127,63.5,61.0
128,64.0,61.81
129,64.5,62.15
130,65.0,62.88
131,65.5,63.33
132,66.0,64.09
133,66.5,64.49
134,67.0,64.9
135,67.5,65.74
136,68.0,66.02
137,68.5,66.45
138,69.0,67.29
139,69.5,67.9
140,70.0,68.36
141,70.5,68.86
142,71.0,69.29
143,71.5,69.72
144,72.0,70.63
145,73.0,71.58
146,73.5,72.02
147,74.0,72.49
148,74.5,73.11
149,75.0,73.55
150,75.5,74.05
151,76.0,74.55
152,76.5,75.23
153,77.0,76.3
154,78.0,77.33
155,78.5,77.76
156,79.0,78.35
157,79.5,78.78
158,80.0,79.35
159,80.5,79.89
160,81.0,80.99
161,81.5,81.48
162,82.0,81.95
163,82.5,82.48
164,83.0,83.04
165,83.5,83.64
166,84.0,84.57
167,84.5,85.05
168,85.0,85.58
169,85.5,86.52
170,86.0,87.05
171,86.5,87.79
172,87.0,88.24
173,87.5,89.11
174,88.0,89.5
175,88.5,90.3
176,89.0,90.74
177,89.5,91.57
178,90.0,92.01
179,90.5,92.42
180,91.0,92.67
181,91.5,93.15
182,92.0,93.77
183,93.0,94.51
184,93.5,95.02
185,94.0,95.37
186,94.5,95.89
187,95.0,96.43
188,95.5,96.66
189,96.0,97.24
190,96.5,97.4
191,97.0,97.87
192,97.5,98.43
193,98.0,99.25
194,98.5,99.71
195,99.0,99.94
196,99.5,99.99
197,100.0,100.0
